mit, all, rl, call4
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 372, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 10907, 9915
0, 453, 15798, 0
0, 426, 8329, 7821
10176, 473, 0, 0
8985, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
13485, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
9530, 0, 0, 0
7171, 0, 0, 0
0, 0, 0, 0
7602, 0, 0, 0
10686, 364, 0, 8835
0, 0, 0, 5444
0, 0, 0, 7591
0, 0, 0, 5876
11712, 0, 0, 5234
11771, 0, 0, 0
13674, 0, 0, 0
0, 166, 0, 0
0, 0, 0, 0
0, 0, 9934, 11114
13815, 0, 0, 8570
13084, 0, 0, 5374
13503, 0, 9390, 9231
0, 0, 0, 0
0, 0, 5818, 6960
0, 0, 8230, 0
0, 77, 0, 13998
16357, 0, 4504, 14887
9191, 0, 0, 0
5783, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 6677
0, 0, 0, 0
9779, 0, 0, 0
0, 0, 0, 0
0, 267, 0, 0
0, 0, 0, 5880
0, 251, 0, 4974
8138, 454, 12116, 13711
0, 0, 0, 7554
14075, 0, 0, 0
11677, 0, 0, 6752
9900, 319, 0, 0
0, 390, 0, 0
7642, 0, 0, 0
8587, 0, 0, 0
10252, 436, 8912, 10274
15135, 425, 10853, 5258
7555, 0, 0, 0
0, 315, 16152, 0
12970, 351, 11734, 6320
15305, 301, 16878, 14842
11460, 0, 0, 0
9882, 0, 12284, 0
0, 305, 0, 0
10072, 359, 11106, 0
10034, 379, 14840, 9131
0, 278, 9143, 0
5462, 0, 14174, 5389
7752, 372, 12826, 7350
9428, 324, 0, 5036
0, 287, 0, 16529
9171, 329, 0, 11223
7579, 301, 0, 0
10564, 255, 12296, 9835
8978, 211, 7986, 9537
16309, 252, 13192, 14142
5933, 220, 12849, 3029
11777, 377, 0, 12242
9700, 388, 10777, 8839
0, 289, 14838, 5945
9161, 375, 13875, 7198
14838, 364, 0, 6991
12713, 370, 9799, 7765
14552, 280, 0, 5500
0, 386, 11153, 9773
0, 297, 13454, 11486
9096, 347, 12253, 7395
0, 434, 13970, 6446
0, 373, 0, 7337
10167, 351, 9708, 10596
0, 418, 10971, 6427
0, 386, 11041, 0
0, 0, 10818, 6732
0, 0, 16618, 0
0, 0, 12466, 0
0, 0, 13241, 0
0, 0, 11249, 13115
0, 515, 12601, 0
0, 0, 14373, 11290
0, 465, 14857, 0
0, 371, 0, 0
14049, 439, 9189, 0
0, 415, 10955, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 11091, 0
0, 343, 0, 13271
0, 338, 12741, 0
0, 0, 12400, 0
0, 292, 11382, 12001
0, 294, 8502, 10272
9800, 223, 11265, 14904
11230, 427, 0, 6160
16955, 0, 0, 11237
14806, 310, 0, 6911
0, 0, 0, 0
13577, 451, 10671, 8095
12037, 231, 15361, 9371
13792, 453, 0, 12990
0, 0, 0, 7869
6019, 0, 0, 15085
0, 0, 0, 0
0, 0, 0, 0
10679, 0, 0, 0
8302, 0, 0, 0
7363, 358, 0, 9199
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
10646, 401, 0, 4288
8538, 322, 10630, 9186
10392, 237, 0, 0
9402, 223, 14747, 9898
0, 279, 12253, 4512
9506, 411, 0, 0
0, 446, 9158, 9089
0, 0, 9400, 0
9889, 363, 7128, 0
0, 0, 0, 0
0, 0, 8170, 5875
0, 501, 10190, 6397
0, 0, 0, 0
12628, 0, 0, 0
0, 0, 0, 0
0, 0, 6480, 0
0, 0, 0, 0
0, 0, 0, 0
8271, 0, 9985, 0
9035, 318, 0, 0
